id,ticker,name,week_end,e01,e02,e03,e04,e05,e06,s01,s02,s03,s04,s05,s06,s08,s09,s10,g01,g02,g03,g04,g06,g08,m01,m02,m03,m04,esg_sum,created_at
2091159,600935.SH,华塑股份,4/22/22 0:00,10,11,11,11,11,19,10,10,10,10,10,10,17,10,10,10,10,10,10,10,16,10,10,10,10,27,4/25/22 12:23
2091140,603085.SH,天成自控,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4/25/22 12:23
2091147,603196.SH,日播时尚,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,10,10,10,10,10,10,10,13,4/25/22 12:23
2091141,603323.SH,苏农银行,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,10,10,10,10,14,4/25/22 12:23
2091142,603331.SH,百达精工,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4/25/22 12:23
2091130,603444.SH,吉比特,4/22/22 0:00,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,21,4/25/22 12:23
2091134,603533.SH,掌阅科技,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,10,10,10,19,10,10,10,10,21,4/25/22 12:23
2091154,603811.SH,诚意药业,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4/25/22 12:23
2091158,605299.SH,舒华体育,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,10,11,4/25/22 12:23
2091138,688078.SH,龙软科技,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4/25/22 12:23
2091125,688511.SH,天微电子,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4/25/22 12:23
2091145,MR.XX1.US,迈瑞公司,4/22/22 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/25/22 12:23
